ROI.name,feature,feature_label,feature_type,module,value_raw,value_z,mapping_note,key_gene
MeristemEpidermis,ABC Transporter,ABC Transporter,gene,typeIV_acylsugar_metabolism,0.9490500092506409,-0.0935242772102356,,True
MeristemEpidermis,ASAT2,ASAT2,gene,typeIV_acylsugar_metabolism,0.0,-0.4413694143295288,,False
MeristemEpidermis,ASH3,ASH3,gene,typeIV_acylsugar_metabolism,19.64764976501465,-0.19021017849445343,,True
MeristemEpidermis,MCPI,MCPI,gene,typeVI_terpene_metabolism,29.044179916381836,-0.5393704771995544,,True
MeristemEpidermis,EOT1,EOT1,gene,typeVI_terpene_metabolism,1.6373422145843506,-0.30665844678878784,,True
MeristemEpidermis,EOT2,EOT2,gene,typeVI_terpene_metabolism,1.411625623703003,-0.07723131030797958,,False
MeristemEpidermis,TPS9,TPS9,gene,typeVI_terpene_metabolism,7.635580539703369,-0.3344140946865082,,False
MeristemEpidermis,RBCS-1,RBCS-1,gene,reference_control,234.54295349121094,-0.21673914790153503,,True
MeristemEpidermis,CAB13,CAB13,gene,reference_control,227.09402465820312,-0.7475199103355408,,False
MeristemEpidermis,PSBO,PSBO,gene,reference_control,117.2298355102539,-0.0377906858921051,,True
MeristemEpidermis,PSBS,PSBS,gene,reference_control,108.30741882324219,-0.3488479256629944,,False
MeristemEpidermis,PSBR,PSBR,gene,reference_control,565.05078125,-0.27290937304496765,,False
MeristemEpidermis,WEE1,WEE1,gene,reference_control,40.502349853515625,1.762717366218567,,False
MeristemEpidermis,Histone H4,Histone H4,gene,reference_control,2346.44189453125,2.4625236988067627,,True
LeafEpidermis,ML1,ML1,gene,epidermal_identity,666.079833984375,1.7969162464141846,,False
LeafEpidermis,PDF1,PDF1,gene,epidermal_identity,1571.44580078125,0.4944337010383606,,False
LeafEpidermis,CD2,CD2,gene,epidermal_identity,492.8153381347656,-0.06261494010686874,,False
LeafEpidermis,SVB,SVB,gene,epidermal_identity,201.97032165527344,0.5705810189247131,,False
LeafEpidermis,WOOLLY,WOOLLY,gene,epidermal_identity,222.18370056152344,1.70241379737854,,False
LeafEpidermis,WOX3b,WOX3b,gene,trichome_morphogenesis,8.401325225830078,-0.20917463302612305,,False
LeafEpidermis,MX1 / MIXTA,MX1 / MIXTA,gene,trichome_morphogenesis,3.6533267498016357,-0.29401686787605286,,False
LeafEpidermis,MTR2 / CycB3,MTR2 / CycB3,gene,trichome_morphogenesis,41.5727424621582,0.048047617077827454,,False
LeafEpidermis,MTR3,MTR3,gene,trichome_morphogenesis,488.2338562011719,0.5625076293945312,,True
LeafEpidermis,HAIR,HAIR,gene,trichome_morphogenesis,2.75264835357666,-0.08155198395252228,,False
LeafEpidermis,Hairless,Hairless,gene,trichome_morphogenesis,34.64909362792969,-0.16242742538452148,,False
